backend-1   | 15:19:55.732 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received tool_call for chat-tools #1 (qwen3:4b-instruct): function=list_products arguments={category=electronics, inStockOnly=true, limit=50}
backend-1   | 15:20:51.665 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #107 (qwen3:4b-instruct):  Ret
backend-1   | 15:20:51.850 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #108 (qwen3:4b-instruct): ina
backend-1   | 15:20:52.237 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #109 (qwen3:4b-instruct):  X
backend-1   | 15:20:52.503 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #110 (qwen3:4b-instruct): DR
backend-1   | 15:20:52.763 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #111 (qwen3:4b-instruct):  display
backend-1   | 15:20:53.406 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #114 (qwen3:4b-instruct):  -
backend-1   | 15:20:53.583 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #115 (qwen3:4b-instruct):  Price
backend-1   | 15:20:53.845 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #116 (qwen3:4b-instruct): :
backend-1   | 15:20:54.097 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #117 (qwen3:4b-instruct):  $
backend-1   | 15:20:54.316 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #118 (qwen3:4b-instruct): 9
backend-1   | 15:20:54.523 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #119 (qwen3:4b-instruct): 9
backend-1   | 15:20:54.743 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #120 (qwen3:4b-instruct): 9
backend-1   | 15:20:55.222 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #121 (qwen3:4b-instruct): .
backend-1   | 15:20:55.501 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #122 (qwen3:4b-instruct): 9
backend-1   | 15:20:55.730 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #123 (qwen3:4b-instruct): 9
backend-1   | 15:20:56.457 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #126 (qwen3:4b-instruct):  -
backend-1   | 15:20:56.725 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #127 (qwen3:4b-instruct):  Stock
backend-1   | 15:20:56.928 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #128 (qwen3:4b-instruct):  Quantity
backend-1   | 15:20:57.233 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #129 (qwen3:4b-instruct): :
backend-1   | 15:20:57.870 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #131 (qwen3:4b-instruct): 5
backend-1   | 15:20:58.153 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #132 (qwen3:4b-instruct): 0
backend-1   | 15:20:58.382 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #133 (qwen3:4b-instruct):  units
backend-1   | 15:20:59.019 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #136 (qwen3:4b-instruct):  -
backend-1   | 15:20:59.229 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #137 (qwen3:4b-instruct):  Category
backend-1   | 15:20:59.451 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #138 (qwen3:4b-instruct): :
backend-1   | 15:20:59.754 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #139 (qwen3:4b-instruct):  Electronics
backend-1   | 15:21:00.672 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #142 (qwen3:4b-instruct):  -
backend-1   | 15:21:00.971 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #143 (qwen3:4b-instruct):  Image
backend-1   | 15:21:01.251 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #144 (qwen3:4b-instruct):  URL
backend-1   | 15:21:01.718 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #145 (qwen3:4b-instruct): :
backend-1   | 15:21:02.002 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #146 (qwen3:4b-instruct):  [
backend-1   | 15:21:02.226 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #147 (qwen3:4b-instruct): View
backend-1   | 15:21:02.426 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #148 (qwen3:4b-instruct):  Image
backend-1   | 15:21:02.666 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #149 (qwen3:4b-instruct): ](
backend-1   | 15:21:02.992 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #150 (qwen3:4b-instruct): http
backend-1   | 15:21:03.238 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #151 (qwen3:4b-instruct): ://
backend-1   | 15:21:03.427 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #152 (qwen3:4b-instruct): localhost
backend-1   | 15:21:03.902 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #153 (qwen3:4b-instruct): :
backend-1   | 15:21:04.198 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #154 (qwen3:4b-instruct): 8
backend-1   | 15:21:04.422 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #155 (qwen3:4b-instruct): 0
backend-1   | 15:21:04.637 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #156 (qwen3:4b-instruct): 8
backend-1   | 15:21:04.889 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #157 (qwen3:4b-instruct): 2
backend-1   | 15:21:05.305 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #158 (qwen3:4b-instruct): /images
backend-1   | 15:21:05.559 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #159 (qwen3:4b-instruct): /
backend-1   | 15:21:05.771 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #160 (qwen3:4b-instruct): iphone
backend-1   | 15:21:06.124 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #161 (qwen3:4b-instruct): .png
backend-1   | 15:21:06.319 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #162 (qwen3:4b-instruct): )
backend-1   | 
backend-1   | 
backend-1   | 15:21:06.538 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #163 (qwen3:4b-instruct): Note
backend-1   | 15:21:06.794 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #164 (qwen3:4b-instruct): :
backend-1   | 15:21:06.982 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #165 (qwen3:4b-instruct):  The
backend-1   | 15:21:07.166 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #166 (qwen3:4b-instruct):  catalog
backend-1   | 15:21:07.394 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #167 (qwen3:4b-instruct):  returned
backend-1   | 15:21:07.633 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #168 (qwen3:4b-instruct):  only
backend-1   | 15:21:08.000 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #169 (qwen3:4b-instruct):  one
backend-1   | 15:21:08.280 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #170 (qwen3:4b-instruct):  iPhone
backend-1   | 15:21:08.537 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #171 (qwen3:4b-instruct):  (
backend-1   | 15:21:08.742 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #172 (qwen3:4b-instruct): iPhone
backend-1   | 15:21:09.265 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #174 (qwen3:4b-instruct): 1
backend-1   | 15:21:09.490 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #175 (qwen3:4b-instruct): 3
backend-1   | 15:21:09.747 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #176 (qwen3:4b-instruct):  Pro
backend-1   | 15:21:10.387 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #177 (qwen3:4b-instruct): ),
backend-1   | 15:21:10.779 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #178 (qwen3:4b-instruct):  as
backend-1   | 15:21:11.228 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #179 (qwen3:4b-instruct):  the
backend-1   | 15:21:11.496 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #180 (qwen3:4b-instruct):  other
backend-1   | 15:21:11.774 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #181 (qwen3:4b-instruct):  product
backend-1   | 15:21:12.005 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #182 (qwen3:4b-instruct):  listed
backend-1   | 15:21:12.239 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #183 (qwen3:4b-instruct):  (
backend-1   | 15:21:12.586 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #184 (qwen3:4b-instruct): Samsung
backend-1   | 15:21:12.947 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #185 (qwen3:4b-instruct):  Galaxy
backend-1   | 15:21:13.200 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #186 (qwen3:4b-instruct):  S
backend-1   | 15:21:13.420 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #187 (qwen3:4b-instruct): 2
backend-1   | 15:21:13.627 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #188 (qwen3:4b-instruct): 1
backend-1   | 15:21:13.848 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #189 (qwen3:4b-instruct): )
backend-1   | 15:21:14.106 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #190 (qwen3:4b-instruct):  is
backend-1   | 15:21:14.306 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #191 (qwen3:4b-instruct):  not
backend-1   | 15:21:14.532 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #192 (qwen3:4b-instruct):  an
backend-1   | 15:21:14.856 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #193 (qwen3:4b-instruct):  iPhone
backend-1   | 15:21:15.334 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #194 (qwen3:4b-instruct): .
ollama      | [GIN] 2025/12/06 - 15:21:15 | 200 | 46.960757117s |      172.19.0.5 | POST     "/api/chat"
backend-1   | 15:21:15.539 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - chat-tools completed for model qwen3:4b-instruct in 152 s (195 chunks)
backend-1   | 15:21:15.539 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - chat-tools stream closed for model qwen3:4b-instruct
backend-1   | 15:21:15.540 [boundedElastic-1] INFO  c.a.t.s.o.OllamaFunctionCallingService - Iteration 3: Ollama responded with 127 chunk(s) in 46967 ms
backend-1   | 15:21:15.540 [boundedElastic-1] INFO  c.a.t.s.o.OllamaFunctionCallingService - Iteration 3: Received assistant completion (0 chars). Ending stream.
postgres-1  | 2025-12-06 15:21:41.537 UTC [27] LOG:  checkpoint starting: time
postgres-1  | 2025-12-06 15:21:42.070 UTC [27] LOG:  checkpoint complete: wrote 7 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.512 s, sync=0.007 s, total=0.535 s; sync files=7, longest=0.004 s, average=0.001 s; distance=13 kB, estimate=13 kB; lsn=0/1A0D420, redo lsn=0/1A0D3E8
